Customer_ID,Campaign_ID,Response,ClickThroughRate,EngagementFrequency
1811604,35,Yes,0.12,7
3572894,49,Yes,0.17,1
2767704,6,Yes,0.37,4
8036804,30,No,0.47,5
5984194,42,No,0.93,7
3698504,24,Yes,0.38,9
4050804,63,No,0.58,5
3812804,14,Yes,0.56,1
7357404,20,No,0.96,7
5194804,58,No,0.03,4
4340804,62,Yes,0.02,4
9286204,65,Yes,0.4,7
308704,14,No,0.35,5
5403794,40,No,0.92,3
9721804,57,No,0.26,7
9815104,57,No,0.24,4
1994804,5,Yes,0.91,7
8666194,25,Yes,0.57,6
1524404,5,No,0.29,3
3760994,23,Yes,0.18,7
9864304,68,No,0.28,2
9261894,72,Yes,0.03,2
5839194,53,No,0.47,7
1758094,12,No,0.95,8
4357194,13,No,0.95,5
1231104,65,Yes,0.21,1
6241894,66,No,0.63,3
7611094,51,Yes,0.83,8
5751004,50,No,0.8,9
1451804,51,Yes,0.07,5
6877604,62,Yes,0.36,7
5786104,64,Yes,0.96,7
9549004,73,No,0.37,4
9892404,7,Yes,0.7,6
8224894,47,Yes,0.06,7
8527904,61,Yes,0.17,1
1112704,41,Yes,0.47,8
8317804,61,No,0.85,8
4366504,24,Yes,0.68,2
888504,50,Yes,0.82,3
7997004,17,No,0.65,3
7015804,57,Yes,0.47,9
9856504,5,Yes,0.82,7
3759004,60,No,0.16,2
9683704,32,Yes,0.92,5
2505894,66,Yes,0.65,1
2831204,71,Yes,0.71,6
5459404,3,No,0.27,3
8357704,44,Yes,0.99,1
4093404,55,No,0.1,9
5707694,41,Yes,0.61,4
8896704,20,No,0.12,1
4188404,34,No,0.54,3
304204,74,Yes,0.87,9
880404,69,No,0.05,3
3673704,51,Yes,0.45,5
9557704,59,Yes,0.05,3
1064894,11,Yes,0.62,9
9109094,23,No,0.94,4
5792404,70,Yes,0.45,7
6562804,1,Yes,0.2,3
8235194,53,Yes,0.01,4
3633804,25,Yes,0.25,9
6007704,49,Yes,0.47,2
2221504,34,No,0.69,3
9341804,60,Yes,0.26,5
2350304,14,No,0.74,9
3024704,29,Yes,0.61,3
8451894,8,No,0.87,4
8377404,3,Yes,0.84,8
6522304,58,No,0.1,2
9563504,52,Yes,0.43,8
7462994,31,Yes,0.48,6
7137404,55,No,0.49,9
7555204,38,Yes,0.09,1
7243794,70,No,0.22,3
2726404,5,Yes,0.2,3
3686404,22,Yes,0.48,2
9805404,7,Yes,0.49,6
270004,57,No,0.38,8
336504,5,No,0.75,8
7888504,34,No,0.57,3
7039894,6,Yes,0.67,2
2572894,46,No,0.8,2
3396404,44,No,0.05,2
3057794,6,No,0.53,7
7066104,49,No,0.33,7
9309704,13,No,0.55,6
1673704,52,No,0.7,9
5596904,56,Yes,0.29,8
5881704,13,No,0.55,1
8541804,16,Yes,0.74,3
7634204,58,Yes,0.01,6
567794,16,No,0.51,3
5585694,33,No,0.68,8
633894,20,Yes,0.36,4
4085404,24,Yes,0.15,7
7355404,65,No,0.48,2
183994,35,No,0.13,1
4367304,1,No,0.3,4
9664504,43,Yes,0.65,6
2992704,57,No,0.87,8
4341504,61,Yes,0.54,4
80904,23,Yes,0.86,8
5839194,50,No,0.5,1
8618704,6,Yes,0.9,6
5418404,39,No,0.74,4
2455304,37,No,0.19,4
7496604,41,Yes,0.34,8
8845404,44,No,0.38,8
3238804,72,Yes,0.1,3
6607704,64,No,0.06,8
1197004,57,Yes,0.27,4
6018004,44,No,0.28,7
5189894,71,Yes,0.37,1
2398404,1,Yes,0.95,9
8612194,57,No,0.9,9
1755404,71,No,0.96,8
1250804,16,Yes,0.38,4
9142804,46,No,0.35,9
6195404,45,No,0.59,2
695404,73,No,0.86,9
3989704,19,Yes,0.41,6
8500804,69,Yes,0.9,8
8395694,9,Yes,0.76,1
6854904,64,No,0.88,4
2696704,37,Yes,0.89,4
9844004,70,No,0.53,8
9559404,56,Yes,0.61,9
1719504,28,No,0.39,9
1141504,57,No,0.58,7
3846004,22,No,0.53,6
1334804,64,Yes,0.63,5
6295404,14,No,0.55,2
4166094,56,No,0.22,8
3482504,52,Yes,0.5,3
2502704,22,Yes,0.08,2
303404,36,Yes,0.4,7
6698804,35,Yes,0.41,9
8930504,73,No,0.21,8
3270004,8,Yes,0.6,9
4620804,4,No,0.98,3
1810504,32,Yes,0.33,5
2158304,3,No,0.13,4
8015204,25,No,0.73,6
9517904,13,Yes,0.64,6
2252404,14,Yes,0.28,5
1488404,56,Yes,0.28,7
6221704,4,Yes,0.67,9
3004,63,No,0.91,4
8042094,37,No,0.52,4
5615204,44,No,0.8,5
2063504,38,Yes,0.79,7
2784404,39,No,0.38,1
4416804,4,Yes,0.13,7
734894,67,Yes,0.34,7
6346904,5,No,0.58,7
3545194,46,Yes,0.64,6
582804,3,Yes,0.39,3
2266194,34,Yes,0.38,2
2856504,59,No,0.34,1
7716804,71,No,0.4,4
9770504,42,No,0.75,8
7989794,34,No,0.18,3
1795694,41,Yes,0.59,6
936404,31,Yes,0.33,5
2381704,71,Yes,0.08,7
7897004,2,No,0.72,8
153504,56,No,0.43,6
5421794,46,Yes,0.79,7
3663004,58,Yes,0.78,3
1538504,69,Yes,0.59,3
3950094,38,Yes,0.83,6
4754904,13,No,0.33,6
7891704,15,No,0.24,6
2501704,1,Yes,0.56,3
3049404,70,Yes,0.38,4
5835404,4,No,0.9,2
6138404,11,No,0.42,8
733094,17,Yes,0.9,4
4917894,21,Yes,0.02,1
612804,74,No,0.52,2
5588504,7,No,0.33,9
7564504,69,Yes,0.34,6
4066094,70,Yes,0.64,5
9177704,33,No,0.03,1
8066094,12,No,0.98,4
4620804,45,No,0.99,9
1726404,72,No,0.55,6
8157094,55,No,0.58,1
7389404,59,Yes,0.74,2
7716804,45,No,0.13,9
2850304,68,Yes,0.79,4
2435404,32,Yes,0.78,3
7067694,8,No,0.15,9
6030794,50,Yes,0.39,7
8608004,54,No,0.06,8
5731304,30,Yes,0.07,2
5115804,5,No,0.35,3
9512704,56,No,0.96,1
6821304,55,Yes,0.47,5
4349094,36,Yes,0.32,9
6498694,47,Yes,0.3,6
5845604,46,Yes,0.32,9
946904,39,Yes,0.24,4
2355794,35,No,0.73,5
2893504,37,Yes,0.28,7
4374904,23,No,0.33,2
981704,28,Yes,0.64,1
6854904,47,Yes,0.16,5
7926994,69,No,0.46,2
534804,11,No,0.91,3
938404,36,Yes,0.14,6
6405804,54,Yes,0.72,5
1250304,52,Yes,0.1,8
7537704,67,Yes,0.24,5
3058604,68,Yes,0.03,2
4592994,37,Yes,0.68,6
2726504,25,No,0.82,7
6796604,30,No,0.18,9
841804,30,Yes,0.03,7
7449094,73,Yes,0.32,6
8052004,10,Yes,0.46,8
9921104,8,Yes,0.2,4
8904504,69,No,0.07,7
6550804,29,Yes,0.67,4
5342004,26,Yes,0.8,1
8742804,44,No,0.72,8
3785404,52,No,0.04,3
4342004,7,Yes,0.94,1
4562904,56,No,0.09,8
1884504,26,No,0.3,7
6522304,51,Yes,0.48,3
3783504,29,Yes,0.62,6
6850504,56,No,0.47,8
1009004,51,Yes,0.91,9
3462504,62,Yes,0.07,6
920304,72,No,0.95,1
8389804,41,No,0.13,8
655104,22,Yes,0.55,4
4714104,47,No,0.58,6
8393404,31,No,0.97,4
7072604,35,No,0.47,8
2342104,65,No,0.93,2
1921404,55,No,0.81,9
9657204,73,No,0.7,3
8122404,8,No,0.26,8
3906804,60,No,0.94,6
8754004,39,Yes,0.9,5
6644804,55,Yes,0.91,9
1335894,43,Yes,0.97,2
3519304,37,Yes,0.37,5
2083904,48,Yes,0.71,1
2316304,11,Yes,0.75,5
4204104,45,Yes,0.02,7
2927804,12,Yes,0.95,6
5307604,65,No,0.58,6
195694,3,No,0.35,2
7766504,8,No,0.14,6
1482504,15,Yes,0.63,4
3555404,32,Yes,0.82,9
7152504,24,No,0.83,8
5493404,71,No,0.15,1
240804,54,Yes,0.61,6
5900304,17,No,0.55,1
5605504,13,No,0.97,5
7975904,1,Yes,0.56,1
2153804,46,Yes,0.73,7
9143504,40,Yes,0.23,7
8573704,35,Yes,0.5,1
8790604,71,Yes,0.99,5
2903404,69,Yes,0.62,3
4405804,68,Yes,0.73,6
1335894,46,No,0.09,6
862904,8,Yes,0.24,8
8811704,13,Yes,0.17,3
4085404,70,Yes,0.26,2
6330004,67,No,0.05,3
1619004,13,Yes,0.57,8
1533404,3,Yes,0.04,8
9124404,42,No,0.95,4
3169404,2,Yes,0.22,6
9301404,15,No,0.27,7
7713004,70,No,0.27,6
202904,14,Yes,0.48,8
1854004,14,Yes,0.72,9
3783894,6,Yes,0.86,6
4676194,28,Yes,0.92,3
1883004,21,No,0.26,6
265194,3,Yes,0.56,5
708704,73,Yes,0.94,6
3975194,49,Yes,0.99,5
2086104,59,No,0.1,1
5203804,71,Yes,0.55,3
4853004,73,No,0.23,1
9632304,70,Yes,0.23,1
4642994,57,No,0.32,2
3442894,31,Yes,0.55,4
6171504,67,No,0.07,8
8809994,68,Yes,0.7,7
5715804,1,No,0.06,3
163704,64,Yes,0.14,8
1610604,28,No,0.2,7
880404,5,No,0.07,3
9504504,20,No,0.33,7
4367304,31,No,0.17,1
7611094,26,No,0.75,5
4357194,48,Yes,0.1,5
7496604,23,No,0.52,7
6369404,10,Yes,0.54,8
8634194,25,No,0.01,6
9321194,29,No,0.36,7
1612704,49,No,0.52,6
2266194,71,No,0.18,2
3883904,73,Yes,0.54,6
9364504,42,No,0.07,7
4180004,22,No,0.44,8
1433804,41,Yes,0.04,9
9546204,45,Yes,0.2,8
7466004,60,Yes,0.38,2
9654304,62,No,0.19,5
2115804,46,Yes,0.49,9
5721304,33,No,0.71,8
3017304,24,Yes,0.21,9
9086104,10,Yes,0.16,8
8046504,6,No,0.02,7
6190604,7,No,0.81,8
1337794,2,Yes,0.9,9
882304,49,No,0.26,8
3324504,52,Yes,0.4,1
8430504,39,No,0.32,8
626304,44,Yes,0.01,3
8773904,2,Yes,0.75,1
9216304,61,Yes,0.26,5
7826304,74,Yes,0.88,6
4618704,41,Yes,0.36,7
6776804,66,Yes,0.92,1
7664304,33,Yes,0.26,7
3194804,24,Yes,0.17,8
4759194,63,No,0.58,5
1455104,18,No,0.25,6
695704,61,Yes,0.92,7
5108194,56,No,0.75,5
7736804,28,No,0.59,6
6062404,53,Yes,0.3,1
5746204,58,Yes,0.65,8
9370804,22,No,0.88,6
2917704,52,No,0.63,3
8663194,53,Yes,0.5,5
3444894,32,Yes,0.95,9
4933904,29,No,0.25,1
5453304,60,Yes,0.78,6
9417204,34,No,0.97,9
226194,33,Yes,0.77,7
8445194,72,No,0.85,9
9301404,51,Yes,0.15,6
8038404,50,No,0.6,3
2778704,59,No,0.79,5
4346194,14,No,0.47,1
1055304,73,Yes,0.51,1
7129804,27,Yes,0.29,6
6321804,19,No,0.43,4
4805804,21,Yes,0.4,7
5129504,8,No,0.01,5
2409994,24,Yes,0.66,3
7321704,47,No,0.5,1
4412994,42,No,0.07,4
8393404,12,Yes,0.43,7
6709404,49,Yes,0.53,6
1443904,59,Yes,0.06,5
8062604,18,No,0.23,6
1337794,22,No,0.56,2
2366094,2,No,0.31,1
6506804,37,No,0.87,9
115894,24,No,0.98,7
1982994,54,No,0.98,2
17804,43,No,0.37,4
8046504,65,Yes,0.51,1
930804,71,Yes,0.24,2
646504,34,No,0.39,7
73304,37,No,0.02,2
9413194,30,No,0.21,7
3989704,47,No,0.79,5
4593994,66,No,0.4,9
7056504,73,Yes,0.12,9
9415804,21,No,0.39,6
2057004,70,No,0.12,8
4942204,46,No,0.7,1
711094,72,Yes,0.08,7
5012704,26,No,0.64,7
970304,68,Yes,0.01,2
9493604,47,Yes,0.92,1
9108904,36,Yes,0.24,7
9594004,73,No,0.08,4
6429894,23,No,0.31,7
8045304,39,Yes,0.99,8
2670104,33,No,0.44,1
8504504,52,No,0.27,5
6445104,69,No,0.43,6
7236204,46,No,0.61,7
7496604,21,No,0.06,7
4517704,1,No,0.64,6
5957704,13,Yes,0.89,4
3549104,15,Yes,0.88,9
6395704,38,No,0.59,9
6581404,33,No,0.21,9
6485404,28,Yes,0.93,4
5369004,11,No,0.58,6
9286204,38,Yes,0.88,8
3683404,67,Yes,0.01,4
6667704,45,Yes,0.82,5
5290604,12,No,0.91,5
4875504,61,No,0.33,6
695704,21,Yes,0.41,5
2458804,53,No,0.12,1
3636204,41,No,0.41,4
8701994,64,Yes,0.82,3
4645194,53,No,0.31,1
1430504,51,No,0.92,6
1166094,53,Yes,0.98,7
3812404,37,Yes,0.68,7
4910304,33,No,0.7,2
6124604,73,No,0.49,9
7649004,24,No,0.68,2
6952604,4,No,0.19,7
3009994,35,No,0.04,5
4976404,61,No,0.26,5
5475194,63,No,0.1,6
2126404,27,No,0.72,7
3252604,14,Yes,0.59,2
9565694,48,Yes,0.25,9
935994,43,No,0.75,4
2262504,1,Yes,0.88,7
7034094,31,Yes,0.22,8
7137404,17,Yes,0.27,1
1460894,45,Yes,0.89,9
3987194,68,Yes,0.43,6
8258304,58,No,0.26,8
8593404,30,Yes,0.9,2
4962894,70,Yes,0.72,7
6892404,1,No,0.26,9
6833804,42,Yes,0.1,4
4164504,13,Yes,0.58,6
4925894,74,Yes,0.17,6
5957704,52,No,0.37,4
1455794,15,No,0.39,9
4853004,35,No,0.58,9
426304,12,No,0.51,2
838404,72,No,0.09,1
9939194,26,No,0.86,3
7694204,6,No,0.4,2
4405504,45,Yes,0.32,6
9190804,23,No,0.52,4
393994,12,No,0.51,2
6315804,6,No,0.86,2
3176194,67,No,0.66,5
2020804,6,No,0.87,6
2701804,56,Yes,0.34,1
2719404,50,Yes,0.62,2
5511704,44,Yes,0.76,4
8809994,55,Yes,0.53,9
151804,18,No,0.68,4
4028504,24,No,0.82,4
6251804,53,No,0.2,3
6533704,11,Yes,0.07,2
7149804,56,Yes,1,3
9209404,1,No,0.65,2
224794,16,No,0.38,8
4224604,26,No,0.39,1
3233504,9,No,0.9,9
9936404,23,Yes,0.04,6
7361804,48,Yes,0.29,2
708704,8,No,0.43,1
5573704,70,Yes,0.13,8
115894,69,No,0.65,4
5933794,41,Yes,0.78,8
195204,43,No,0.85,7
7849894,60,No,0.42,2
5900304,18,Yes,0.23,8
6026804,13,No,0.76,1
8258304,40,No,0.32,2
1350304,17,Yes,0.31,8
5416304,53,No,0.49,2
1528704,14,Yes,0.37,4
8187194,46,No,0.12,6
3540804,25,Yes,0.14,8
4517704,46,No,0.87,5
407804,58,No,0.2,8
6157004,9,No,0.95,2
4916194,51,No,0.51,4
288694,72,Yes,0.41,3
137794,12,Yes,0.44,9
8876304,73,Yes,0.67,5
805204,13,Yes,0.59,4
8212804,66,Yes,0.76,6
6698804,3,No,0.29,9
8141504,43,Yes,0.16,5
933804,21,Yes,0.03,9
8266504,4,Yes,0.65,7
270404,47,No,0.67,4
7633504,27,No,0.86,3
8109104,11,No,0.81,6
8123194,6,Yes,0.24,3
6824804,7,Yes,0.2,8
5408804,35,Yes,0.59,6
6097194,57,No,0.41,8
7348604,56,No,0.52,5
3756904,26,No,0.3,4
2587404,55,No,0.25,5
3064304,24,Yes,0.9,6
5583504,12,Yes,0.35,6
8713804,68,Yes,0.26,1
5173404,13,No,0.17,4
5574804,14,No,0.09,2
3673704,14,No,0.11,6
724604,12,Yes,0.68,7
8465894,71,No,0.12,2
4324604,46,No,0.27,1
5962604,47,No,0.5,8
5115804,71,Yes,0.34,5
4374904,61,No,0.74,8
2851204,61,No,0.05,8
3268504,51,No,0.65,6
7343404,46,Yes,0.39,1
2254904,3,No,0.63,9
5486404,71,No,0.05,5
5615204,16,Yes,0.06,2
9286204,41,No,0.54,4
7573704,16,No,0.71,8
1929894,29,No,0.57,2
1236194,25,No,0.49,4
963604,18,No,0.97,2
3027904,66,No,0.65,3
9549004,51,Yes,0.65,1
1923894,22,No,0.09,8
5486404,1,Yes,0.62,9
3676894,15,No,0.86,7
1762504,69,No,0.05,2
2145894,57,No,0.61,9
3956504,69,No,1,3
5112404,37,Yes,0.16,7
2268704,74,No,0.29,2
3562504,11,Yes,0.6,7
3337304,40,Yes,0.52,9
2361204,38,No,0.77,8
4417804,31,Yes,0.78,3
5056194,37,Yes,0.63,3
715204,48,Yes,0.56,6
2532304,60,Yes,0.31,1
528404,73,No,0.56,5
2280904,53,No,0.71,7
3833504,73,No,0.04,7
9384804,38,Yes,0.45,7
9290604,54,Yes,0.14,9
2505894,11,No,0.84,6
5497404,38,No,0.8,2
7975904,34,Yes,0.24,3
938404,13,No,0.92,2
7809194,21,No,0.32,5
8154504,26,Yes,0.24,3
8553304,59,Yes,0.09,3
6666194,52,No,0.39,8
4739894,51,Yes,0.3,6
5036304,8,No,0.1,8
8705804,15,Yes,0.63,4
3673704,26,Yes,0.69,8
2655304,36,No,0.58,4
5290604,66,Yes,0.69,4
6416404,19,Yes,0.85,2
4620804,63,No,0.43,8
7711094,58,No,0.42,2
8977404,11,No,0.13,1
6833894,74,No,0.95,7
434894,41,No,0.97,1
9785504,3,Yes,0.25,6
9395694,33,Yes,0.81,5
8815204,71,No,0.54,9
6657004,71,Yes,0.7,3
7736804,19,Yes,0.59,9
3246804,8,No,0.01,6
2602404,46,Yes,0.6,2
2153804,71,No,0.19,9
7978304,67,No,0.76,6
3956504,42,No,0.36,5
9018004,34,Yes,0.79,8
2958804,29,Yes,0.5,4
4659004,19,No,0.85,6
1889894,50,No,0.9,5
4921304,57,Yes,0.42,3
6115204,31,Yes,0.2,1
8902904,68,No,0.52,9
564904,1,No,0.33,7
992404,43,No,0.38,9
3337304,22,Yes,0.02,8
656904,16,Yes,0.93,2
6495704,30,Yes,0.13,1
2656404,57,Yes,0.59,4
2554804,11,Yes,0.37,4
6183404,68,Yes,0.31,5
9741804,17,No,0.63,7
9811604,58,No,0.19,4
3698004,46,No,0.04,6
8017894,67,Yes,0.67,4
2962504,16,Yes,0.98,4
2851204,57,No,0.76,7
1619994,23,No,0.71,8
2333504,23,Yes,0.85,5
9724404,4,Yes,0.14,6
2401404,63,Yes,0.2,9
3202194,17,No,0.8,2
135194,24,Yes,0.36,4
4498794,32,No,0.57,7
7719404,21,Yes,0.02,6
9211604,17,Yes,0.63,8
3570304,23,Yes,0.26,1
1991804,69,No,0.09,7
2957994,16,No,0.55,5
4714104,4,Yes,0.93,2
6296304,33,No,0.59,1
5165094,27,No,0.38,1
1747404,50,Yes,0.87,7
295994,52,Yes,0.37,6
5841904,16,Yes,0.55,4
9467704,70,Yes,0.46,5
2916304,68,Yes,0.52,1
5467694,24,Yes,0.3,8
2215804,61,Yes,0.25,6
248404,36,Yes,0.86,6
1083304,74,Yes,0.25,8
4955194,54,No,0.5,5
488304,5,Yes,0.5,1
8585304,43,Yes,0.16,6
7952604,36,No,0.59,4
606094,27,Yes,0.03,5
2855894,12,Yes,0.52,5
8709404,70,Yes,0.89,5
2853304,46,No,0.51,3
9451894,62,No,0.98,2
1404504,37,Yes,0.19,2
2446904,6,Yes,0.08,8
1622404,66,No,0.2,6
4596804,36,No,0.95,7
3047004,74,Yes,0.63,5
4136804,44,Yes,0.49,6
3733504,5,No,0.01,1
1245404,31,Yes,0.43,5
4635404,26,No,0.55,4
5524304,45,Yes,0.35,5
3812404,69,Yes,0.52,9
774504,12,No,0.84,3
6619994,62,Yes,0.76,4
5554804,28,No,0.45,7
3046004,55,No,0.14,6
56504,56,No,0.74,5
3698004,37,Yes,0.06,7
2580804,20,Yes,0.9,8
3141504,3,Yes,0.56,4
3008194,52,Yes,0.63,7
3584504,9,No,0.15,9
3934094,31,Yes,0.48,5
8845894,43,Yes,0.07,9
2875504,52,Yes,0.46,6
4743804,10,Yes,0.52,6
5547994,28,No,0.3,2
4341504,31,No,0.71,4
4493604,72,Yes,0.33,5
5475194,6,Yes,0.64,2
2267704,13,No,0.41,6
2837004,59,Yes,0.38,2
5549004,14,No,0.21,1
4620304,36,No,0.18,5
5216404,5,No,0.69,9
2841104,73,Yes,0.53,6
6183404,10,No,0.41,5
4788304,24,No,0.83,7
4601704,65,No,0.25,4
5216404,69,No,0.86,1
6274304,52,No,0.33,2
4346194,46,No,0.15,9
1149094,39,No,0.92,3
1726404,29,Yes,0.85,9
2457904,65,No,0.1,7
3105504,20,No,0.6,5
4092404,38,Yes,0.92,4
1990604,28,No,0.9,1
4926304,29,No,0.55,5
8157094,30,Yes,0.26,4
9326404,19,No,0.23,8
266194,36,No,0.02,4
2063504,11,Yes,1,4
226194,57,Yes,0.73,5
9559104,44,Yes,0.05,7
815804,72,Yes,0.44,8
2549894,30,Yes,0.26,2
1647804,17,Yes,0.88,9
8806004,35,Yes,0.6,6
6807894,11,No,0.02,7
4526804,40,No,0.08,3
