customer_id,gender,income_level,location,last_activity_date
1227894,Unknown,Medium,Tasmania,1900-01-01
1252604,Unknown,High,Western Australia,1900-01-01
402194,Unknown,Medium,Western Australia,1900-01-01
920304,Unknown,Low,Western Australia,2024-01-09
1250304,Unknown,Medium,New South Wales,2024-01-11
809994,Unknown,High,Western Australia,2024-01-12
60304,Unknown,High,South Australia,2024-01-13
6850304,Unknown,Medium,New South Wales,2024-01-13
1170304,Unknown,Low,Victoria,2024-01-14
7370304,Unknown,High,Western Australia,2024-01-14
970304,Unknown,Medium,Northern Territory,2024-01-14
1024894,Unknown,Medium,Queensland,2024-01-17
621304,Unknown,High,South Australia,2024-01-20
1431304,Unknown,Low,Victoria,2024-01-22
532304,Unknown,Low,Australian Capital Territory,2024-01-27
1432304,Unknown,Medium,New South Wales,2024-01-27
882304,Unknown,Low,Western Australia,2024-01-31
742304,Unknown,Low,New South Wales,2024-01-31
9613304,Unknown,Medium,Victoria,2024-01-31
1545994,Male,High,Australian Capital Territory,2024-02-01
193994,Female,High,Tasmania,2024-02-03
8563304,Unknown,High,Western Australia,2024-02-03
673304,Male,High,Australian Capital Territory,2024-02-04
5155894,Female,High,Tasmania,2024-02-04
1083304,Male,Medium,Queensland,2024-02-05
803994,Unknown,High,Victoria,2024-02-09
364304,Unknown,Low,Victoria,2024-02-09
1370094,Unknown,Medium,South Australia,2024-02-14
1202194,Unknown,High,New South Wales,2024-02-15
1055304,Unknown,Medium,Victoria,2024-02-17
157094,Unknown,High,Tasmania,2024-02-17
616304,Unknown,High,Tasmania,2024-02-22
3126304,Unknown,Low,Victoria,2024-02-23
1526304,Unknown,High,New South Wales,2024-02-24
426304,Unknown,Low,Western Australia,2024-02-24
626304,Unknown,High,Tasmania,2024-02-28
5976304,Unknown,Medium,Queensland,2024-02-28
783194,Unknown,High,Northern Territory,2024-02-28
1586304,Unknown,Medium,Western Australia,2024-03-01
57304,Unknown,High,South Australia,2024-03-04
249894,Unknown,Low,Australian Capital Territory,2024-03-07
1253304,Unknown,Low,New South Wales,2024-03-10
8358894,Unknown,High,New South Wales,2024-03-10
2198304,Unknown,Medium,Tasmania,2024-03-10
929304,Unknown,High,Australian Capital Territory,2024-03-12
329304,Unknown,Low,South Australia,2024-03-12
5870404,Unknown,High,Northern Territory,2024-03-16
170404,Unknown,Medium,South Australia,2024-03-16
880404,Male,Low,Western Australia,2024-03-17
302404,Unknown,High,Australian Capital Territory,2024-03-22
1402404,Unknown,Low,Tasmania,2024-03-22
222404,Unknown,Medium,Northern Territory,2024-03-24
492404,Unknown,High,Tasmania,2024-03-29
1492404,Unknown,High,Victoria,2024-03-29
292404,Unknown,Medium,Tasmania,2024-03-29
192404,Unknown,High,Victoria,2024-03-29
1192404,Unknown,Medium,Victoria,2024-03-29
103404,Unknown,High,South Australia,2024-03-30
792404,Unknown,Medium,South Australia,2024-03-30
992404,Unknown,Low,New South Wales,2024-03-30
403404,Unknown,Low,Queensland,2024-03-31
1603404,Unknown,Low,Queensland,2024-03-31
303404,Female,Medium,Australian Capital Territory,2024-03-31
213404,Unknown,Medium,Tasmania,2024-04-01
6483404,Unknown,Medium,Queensland,2024-04-07
914404,Unknown,Low,Victoria,2024-04-11
1524404,Unknown,High,Tasmania,2024-04-12
692994,Unknown,Medium,New South Wales,2024-04-19
1446194,Unknown,High,New South Wales,2024-04-19
594404,Unknown,Low,New South Wales,2024-04-21
605404,Unknown,Low,South Australia,2024-04-23
505404,Unknown,High,South Australia,2024-04-23
194404,Unknown,Low,Victoria,2024-04-26
245404,Unknown,Medium,Northern Territory,2024-04-27
635404,Unknown,Low,South Australia,2024-04-27
737794,Unknown,High,Western Australia,2024-04-28
1445404,Unknown,High,Australian Capital Territory,2024-04-28
8845404,Unknown,Medium,South Australia,2024-04-28
1149894,Unknown,Low,Australian Capital Territory,2024-04-28
1355404,Unknown,High,Australian Capital Territory,2024-04-29
485404,Unknown,Low,Northern Territory,2024-05-03
1561894,Unknown,High,New South Wales,2024-05-05
5216404,Unknown,Medium,Australian Capital Territory,2024-05-09
721794,Unknown,Low,Tasmania,2024-05-11
936404,Unknown,High,South Australia,2024-05-12
1174304,Female,High,Victoria,2024-05-13
646404,Unknown,High,Australian Capital Territory,2024-05-13
877404,Unknown,Low,Queensland,2024-05-26
1523894,Unknown,Medium,Northern Territory,2024-05-26
777404,Unknown,High,New South Wales,2024-05-26
9485694,Unknown,Low,New South Wales,2024-05-26
7573404,Unknown,Medium,Western Australia,2024-05-27
828404,Unknown,Low,Northern Territory,2024-06-01
938404,Unknown,High,Northern Territory,2024-06-02
838404,Unknown,Low,New South Wales,2024-06-02
1333194,Unknown,Medium,Western Australia,2024-06-02
1187404,Unknown,Low,New South Wales,2024-06-03
248404,Unknown,Low,Western Australia,2024-06-03
1488404,Unknown,High,South Australia,2024-06-06
98404,Unknown,Low,New South Wales,2024-06-07
1198404,Unknown,High,Australian Capital Territory,2024-06-07
1348404,Unknown,High,Queensland,2024-06-08
138404,Unknown,Medium,Northern Territory,2024-06-08
909404,Unknown,High,Australian Capital Territory,2024-06-09
359404,Unknown,High,Queensland,2024-06-16
393994,Unknown,Medium,Queensland,2024-06-17
5269404,Unknown,Low,Northern Territory,2024-06-17
900504,Female,High,Northern Territory,2024-06-20
73304,Unknown,Low,South Australia,2024-06-20
468894,Unknown,Low,New South Wales,2024-06-21
510504,Unknown,Low,Western Australia,2024-06-21
20504,Unknown,High,New South Wales,2024-06-22
230504,Unknown,Medium,New South Wales,2024-06-23
1230504,Unknown,Low,New South Wales,2024-06-23
1430504,Unknown,Medium,Northern Territory,2024-06-24
421504,Unknown,Medium,Tasmania,2024-06-28
434894,Unknown,Medium,Tasmania,2024-06-29
8631504,Unknown,Medium,Victoria,2024-06-29
902504,Unknown,High,Northern Territory,2024-07-04
272504,Unknown,High,Victoria,2024-07-06
2962504,Unknown,Low,Western Australia,2024-07-06
1133504,Unknown,Medium,Australian Capital Territory,2024-07-12
97404,Unknown,Medium,New South Wales,2024-07-13
9143504,Unknown,High,Tasmania,2024-07-14
1593504,Female,High,Tasmania,2024-07-21
624504,Unknown,Low,Western Australia,2024-07-25
2954504,Unknown,High,Australian Capital Territory,2024-07-26
2164504,Female,Low,Australian Capital Territory,2024-07-26
9854504,Unknown,Low,Northern Territory,2024-07-26
2474504,Unknown,Low,South Australia,2024-07-28
774504,Unknown,Low,Queensland,2024-07-28
874504,Male,High,Western Australia,2024-07-28
2986404,Unknown,Low,Australian Capital Territory,2024-07-29
1284504,Unknown,High,South Australia,2024-07-29
128794,Unknown,Medium,Victoria,2024-08-01
745504,Unknown,Medium,Australian Capital Territory,2024-08-02
1175504,Unknown,Low,Australian Capital Territory,2024-08-03
270404,Unknown,Low,Victoria,2024-08-03
675504,Unknown,Low,Northern Territory,2024-08-03
4195504,Unknown,Medium,New South Wales,2024-08-05
595504,Unknown,Medium,Australian Capital Territory,2024-08-06
9306504,Unknown,Low,New South Wales,2024-08-08
9720504,Male,High,Northern Territory,2024-08-08
336504,Unknown,Medium,Western Australia,2024-08-08
702794,Unknown,Low,Queensland,2024-08-10
1546504,Unknown,High,Tasmania,2024-08-10
56504,Unknown,Medium,South Australia,2024-08-10
1550094,Unknown,Low,Northern Territory,2024-08-12
998194,Unknown,Medium,Victoria,2024-08-12
74304,Unknown,High,New South Wales,2024-08-12
1385404,Unknown,High,Queensland,2024-08-12
1522404,Unknown,High,Western Australia,2024-08-13
8157094,Unknown,High,South Australia,2024-08-13
276504,Unknown,High,Queensland,2024-08-14
1617304,Unknown,High,New South Wales,2024-08-14
628504,Unknown,Low,Western Australia,2024-08-15
923504,Unknown,Low,South Australia,2024-08-15
1458504,Female,High,Australian Capital Territory,2024-08-17
468504,Unknown,Low,South Australia,2024-08-18
768504,Unknown,Medium,Western Australia,2024-08-19
888504,Unknown,High,Western Australia,2024-08-22
766194,Unknown,Low,Victoria,2024-08-23
319504,Unknown,High,Northern Territory,2024-08-24
1119504,Unknown,High,Queensland,2024-08-24
1229504,Unknown,High,Northern Territory,2024-08-25
1129504,Unknown,Low,Tasmania,2024-08-25
29504,Unknown,High,Tasmania,2024-08-25
3248304,Unknown,Low,Western Australia,2024-08-26
695404,Unknown,High,Western Australia,2024-08-26
929504,Unknown,Low,Western Australia,2024-08-27
199504,Unknown,Low,Northern Territory,2024-08-29
870604,Unknown,Medium,Northern Territory,2024-08-29
1171504,Unknown,Medium,New South Wales,2024-08-29
1610604,Unknown,Low,Victoria,2024-08-29
1390604,Unknown,High,Western Australia,2024-08-30
1790604,Unknown,High,Australian Capital Territory,2024-08-31
3732304,Unknown,Medium,South Australia,2024-09-01
526304,Unknown,Medium,New South Wales,2024-09-02
1165694,Male,High,Victoria,2024-09-02
488304,Unknown,Medium,Western Australia,2024-09-02
62604,Unknown,Low,Northern Territory,2024-09-07
1013994,Unknown,Medium,Northern Territory,2024-09-08
5108194,Unknown,High,Australian Capital Territory,2024-09-08
582604,Unknown,Medium,Australian Capital Territory,2024-09-12
153504,Unknown,High,Victoria,2024-09-13
4224604,Unknown,Low,Australian Capital Territory,2024-09-14
1024604,Unknown,Medium,New South Wales,2024-09-14
4724604,Unknown,Medium,Queensland,2024-09-15
1044894,Male,Low,Queensland,2024-09-15
225604,Unknown,High,Northern Territory,2024-09-19
1814604,Male,Medium,South Australia,2024-09-19
1011704,Unknown,Medium,South Australia,2024-09-28
1271704,Unknown,Medium,Northern Territory,2024-10-03
996404,Female,Low,South Australia,2024-10-04
981704,Unknown,Medium,Australian Capital Territory,2024-10-05
1491704,Unknown,Low,Australian Capital Territory,2024-10-06
1191704,Unknown,High,Australian Capital Territory,2024-10-06
4991704,Female,High,New South Wales,2024-10-07
135194,Unknown,Medium,Australian Capital Territory,2024-10-07
7891704,Unknown,High,Australian Capital Territory,2024-10-07
1612704,Unknown,High,Victoria,2024-10-11
932704,Unknown,Low,South Australia,2024-10-14
842704,Unknown,Medium,New South Wales,2024-10-15
163704,Unknown,Medium,Australian Capital Territory,2024-10-18
1163704,Unknown,Low,Tasmania,2024-10-18
5373704,Unknown,Medium,Northern Territory,2024-10-20
1132094,Unknown,Medium,New South Wales,2024-10-20
3083704,Unknown,Medium,Australian Capital Territory,2024-10-21
7699194,Unknown,Low,Tasmania,2024-10-21
1280404,Unknown,Low,New South Wales,2024-10-21
2288304,Male,Medium,South Australia,2024-10-21
966094,Unknown,Low,Australian Capital Territory,2024-10-21
575704,Unknown,Medium,Australian Capital Territory,2024-10-25
1929404,Male,Medium,New South Wales,2024-10-26
7385704,Unknown,Low,Australian Capital Territory,2024-10-26
695704,Unknown,Medium,Tasmania,2024-10-28
1207704,Unknown,High,Victoria,2024-11-02
117704,Unknown,High,Australian Capital Territory,2024-11-03
9573304,Unknown,High,New South Wales,2024-11-03
3074304,Unknown,Medium,New South Wales,2024-11-03
5707704,Unknown,High,Queensland,2024-11-03
1533404,Unknown,Low,Tasmania,2024-11-04
1538504,Female,Low,Victoria,2024-11-04
1617704,Unknown,High,New South Wales,2024-11-04
4617704,Unknown,High,Western Australia,2024-11-04
1534404,Female,Low,Queensland,2024-11-04
942094,Unknown,Medium,Queensland,2024-11-07
47704,Unknown,Medium,South Australia,2024-11-08
5247704,Unknown,High,Queensland,2024-11-08
980604,Unknown,Low,Australian Capital Territory,2024-11-08
1937704,Unknown,Medium,Tasmania,2024-11-08
647704,Unknown,Medium,Northern Territory,2024-11-09
1557704,Female,Medium,South Australia,2024-11-10
1372894,Unknown,High,New South Wales,2024-11-10
1355994,Male,Medium,Queensland,2024-11-11
587704,Unknown,Medium,Tasmania,2024-11-14
987704,Unknown,Medium,Northern Territory,2024-11-15
6987704,Unknown,Medium,Northern Territory,2024-11-15
308704,Unknown,High,Northern Territory,2024-11-16
1404504,Male,High,Western Australia,2024-11-16
708704,Unknown,Medium,Western Australia,2024-11-17
218704,Unknown,Low,Tasmania,2024-11-17
1528704,Unknown,Low,Northern Territory,2024-11-19
1178704,Unknown,Medium,Northern Territory,2024-11-22
6078704,Unknown,Medium,South Australia,2024-11-22
78704,Unknown,Low,Tasmania,2024-11-22
7580994,Unknown,High,Western Australia,2024-11-28
170094,Unknown,Low,Tasmania,2024-11-28
1472504,Unknown,Medium,Australian Capital Territory,2024-11-28
748304,Unknown,Low,South Australia,2024-11-28
567794,Unknown,High,Northern Territory,2024-11-28
298504,Unknown,High,South Australia,2024-11-28
2719894,Unknown,Medium,Northern Territory,2024-11-28
5043894,Unknown,Medium,South Australia,2024-11-28
620804,Unknown,High,Western Australia,2024-11-29
754504,Unknown,High,Australian Capital Territory,2024-11-29
8710504,Unknown,Medium,Northern Territory,2024-11-29
1193504,Unknown,Low,New South Wales,2024-11-30
735304,Unknown,Medium,Queensland,2024-12-01
930804,Unknown,High,Australian Capital Territory,2024-12-01
1605404,Unknown,Low,Australian Capital Territory,2024-12-01
118704,Unknown,High,Victoria,2024-12-01
340804,Unknown,Low,Victoria,2024-12-01
6392404,Unknown,Low,Victoria,2024-12-01
3733504,Unknown,Low,Northern Territory,2024-12-01
1250804,Unknown,Low,Northern Territory,2024-12-02
1150804,Unknown,Medium,New South Wales,2024-12-02
872894,Unknown,Low,Western Australia,2024-12-05
1270804,Unknown,Medium,Northern Territory,2024-12-05
9190804,Unknown,High,Western Australia,2024-12-05
1316404,Unknown,High,Western Australia,2024-12-07
6321804,Unknown,Low,Victoria,2024-12-07
2194,Unknown,High,Victoria,2024-12-08
1431804,Male,Medium,Tasmania,2024-12-08
1531804,Unknown,Medium,South Australia,2024-12-08
151804,Unknown,Medium,Queensland,2024-12-09
641804,Unknown,Low,Victoria,2024-12-09
796604,Unknown,High,Queensland,2024-12-09
841804,Unknown,Low,Australian Capital Territory,2024-12-09
5138404,Unknown,Medium,Northern Territory,2024-12-10
1451804,Unknown,Low,Victoria,2024-12-10
551804,Unknown,Low,Northern Territory,2024-12-10
819504,Unknown,Medium,Tasmania,2024-12-12
612804,Unknown,Medium,New South Wales,2024-12-14
164504,Unknown,Medium,Northern Territory,2024-12-14
532804,Unknown,High,Queensland,2024-12-15
934404,Male,Low,Queensland,2024-12-15
1042804,Unknown,Medium,Western Australia,2024-12-15
6661894,Unknown,Medium,New South Wales,2024-12-15
520804,Unknown,Low,South Australia,2024-12-16
582804,Unknown,Medium,Australian Capital Territory,2024-12-19
1513804,Unknown,High,Victoria,2024-12-20
946194,Unknown,Low,Western Australia,2024-12-20
1113804,Unknown,Low,Northern Territory,2024-12-20
8478504,Unknown,Medium,Queensland,2024-12-21
1433804,Female,Low,Victoria,2024-12-21
933804,Unknown,Low,Western Australia,2024-12-21
747704,Unknown,Medium,Australian Capital Territory,2024-12-21
687404,Unknown,Medium,Western Australia,2024-12-21
1243504,Unknown,Medium,New South Wales,2024-12-21
4743804,Unknown,Low,New South Wales,2024-12-22
353804,Unknown,Low,Victoria,2024-12-22
166094,Unknown,High,Western Australia,2024-12-22
53804,Male,High,Queensland,2024-12-22
1493804,Female,Medium,Australian Capital Territory,2024-12-25
924804,Unknown,Low,Australian Capital Territory,2024-12-29
1134804,Unknown,Medium,South Australia,2024-12-30
534804,Unknown,High,New South Wales,2024-12-31
4925894,Unknown,Low,Western Australia,2025-01-01
1657994,Unknown,Medium,Western Australia,2025-01-01
8634194,Unknown,Low,Australian Capital Territory,2025-01-01
2249194,Unknown,Medium,Northern Territory,2025-01-01
5757994,Female,High,Queensland,2025-01-01
9559194,Unknown,Low,Queensland,2025-01-01
2801604,Unknown,Low,Queensland,2025-01-02
6129504,Unknown,Low,Queensland,2025-01-02
3193204,Unknown,High,South Australia,2025-01-02
5556194,Unknown,Medium,Australian Capital Territory,2025-01-02
4121704,Unknown,Medium,Northern Territory,2025-01-02
5399894,Unknown,Low,Queensland,2025-01-02
8742804,Unknown,Medium,Northern Territory,2025-01-02
9835994,Unknown,Medium,Victoria,2025-01-02
2118194,Unknown,Medium,Victoria,2025-01-02
4962894,Unknown,Medium,Tasmania,2025-01-02
1921404,Unknown,Medium,Western Australia,2025-01-02
7326194,Unknown,High,Northern Territory,2025-01-02
1836404,Unknown,Low,Australian Capital Territory,2025-01-03
3870094,Unknown,High,South Australia,2025-01-03
2683804,Unknown,High,New South Wales,2025-01-03
5521704,Unknown,Low,Queensland,2025-01-03
5934894,Unknown,Low,New South Wales,2025-01-03
2829894,Female,Medium,Victoria,2025-01-03
9505404,Unknown,Low,New South Wales,2025-01-04
3487404,Unknown,Medium,Australian Capital Territory,2025-01-04
4964704,Unknown,High,Western Australia,2025-01-04
8224894,Unknown,Medium,New South Wales,2025-01-04
2736404,Unknown,Low,New South Wales,2025-01-04
8741894,Unknown,High,South Australia,2025-01-04
2276194,Unknown,High,New South Wales,2025-01-04
5844504,Male,Medium,Victoria,2025-01-04
1254804,Unknown,Low,Tasmania,2025-01-05
5029504,Unknown,Low,Tasmania,2025-01-05
9145194,Unknown,Low,Queensland,2025-01-05
8232704,Unknown,High,New South Wales,2025-01-05
2262504,Female,Medium,Australian Capital Territory,2025-01-05
4502804,Unknown,Low,Victoria,2025-01-05
734404,Unknown,High,New South Wales,2025-01-06
1849404,Unknown,Medium,Western Australia,2025-01-06
2297194,Unknown,Low,Tasmania,2025-01-06
2719404,Unknown,Medium,New South Wales,2025-01-06
8612194,Unknown,Low,New South Wales,2025-01-06
7996194,Unknown,Medium,Northern Territory,2025-01-06
6265794,Unknown,Low,South Australia,2025-01-06
8362604,Unknown,Medium,Western Australia,2025-01-06
9354804,Unknown,High,New South Wales,2025-01-06
2311604,Unknown,Medium,South Australia,2025-01-06
8860994,Female,Medium,Northern Territory,2025-01-06
7503804,Male,High,Western Australia,2025-01-06
6062404,Unknown,Low,Queensland,2025-01-06
3645304,Unknown,Medium,Western Australia,2025-01-06
654804,Unknown,Medium,Queensland,2025-01-06
4801704,Unknown,High,Northern Territory,2025-01-07
5901404,Unknown,Medium,South Australia,2025-01-07
4461894,Unknown,Medium,Australian Capital Territory,2025-01-07
5324404,Unknown,Medium,Western Australia,2025-01-07
6873504,Unknown,High,Queensland,2025-01-08
9526404,Unknown,Low,Victoria,2025-01-08
9689304,Unknown,Low,Northern Territory,2025-01-08
2052894,Unknown,High,Queensland,2025-01-08
5919194,Unknown,Medium,Tasmania,2025-01-08
5463704,Unknown,Medium,Victoria,2025-01-08
8265894,Unknown,High,Queensland,2025-01-08
1264804,Unknown,Medium,Northern Territory,2025-01-08
4312704,Unknown,Low,Australian Capital Territory,2025-01-08
8149194,Unknown,Medium,Tasmania,2025-01-08
5232104,Unknown,Low,Victoria,2025-01-08
4402194,Unknown,Low,Western Australia,2025-01-08
9211604,Female,High,Western Australia,2025-01-08
8720304,Unknown,High,Victoria,2025-01-09
7670304,Unknown,Medium,South Australia,2025-01-09
1398694,Unknown,Low,Queensland,2025-01-09
3883994,Unknown,Medium,Victoria,2025-01-09
9512704,Unknown,High,New South Wales,2025-01-09
7868504,Male,Medium,New South Wales,2025-01-09
