campaign_id,campaign_type,campaign_date,campaign_budget,trad_revenue_30d,mobile_revenue_30d,total_revenue_30d,roi_30d
67,Social Media,2024-04-07,872.37,66847.0,0,66847.0,76.62688996641333
19,Email,2025-05-07,685.99,20965.0,31348.57,52313.57,76.259960057726786
42,SMS,2024-10-15,650.54,48010.0,0,48010.0,73.800227503304953
36,Direct Mail,2024-09-03,811.06,58239.0,0,58239.0,71.80603161295096
9,Email,2025-02-26,984.5,26352.0,41350.96,67702.959999999992,68.768877602844071
18,Social Media,2025-04-30,919.76,21807.0,35975.75,57782.75,62.823725754544661
7,SMS,2025-02-12,979.93,25941.0,35004.52,60945.52,62.193748533058482
21,SMS,2025-05-21,812.07,14277.0,33807.35,48084.35,59.212075313704482
11,Social Media,2025-03-12,995.3,26520.0,31366.79,57886.79,58.160142670551593
20,SMS,2025-05-14,940.56,15572.0,35163.54,50735.54,53.941843157268018
30,Social Media,2025-07-23,958.6,7240.0,22739.71,29979.71,31.27447319006885
31,Direct Mail,2025-07-30,754.73,6818.0,15854.36,22672.36,30.040358803810634
33,Email,2025-08-13,289.42,3924.0,1147.13,5071.13,17.5216985695529
32,Direct Mail,2025-08-06,984.85,5537.0,11505.19,17042.190000000002,17.304350916383207
34,Social Media,2025-08-20,332.8,1318.0,0,1318.0,3.9603365384615383
