Customer_ID,Age,Gender,Occupation,Income_Level,Location,City,Family_Size
195204,28,Unknown,Service Worker,Low,Queensland,Cairns,6
195694,43,Unknown,Professional,High,Queensland,Brisbane,6
199504,41,Unknown,Service Worker,Low,Northern Territory,Alice Springs,2
202904,19,Female,Service Worker,Low,Australian Capital Territory,Canberra,4
213404,36,Unknown,Sales Worker,Medium,Tasmania,Launceston,4
216804,27,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,4
218704,35,Unknown,Machinery Operator,Low,Tasmania,Launceston,5
221094,32,Unknown,Service Worker,Low,New South Wales,Wollongong,3
222404,22,Unknown,Community Worker,Medium,Northern Territory,Katherine,6
224794,39,Unknown,Manager,High,Western Australia,Fremantle,2
224894,58,Unknown,Self-employed,High,Victoria,Geelong,6
225604,33,Unknown,Manager,High,Northern Territory,Alice Springs,6
225804,28,Unknown,Laborer,Low,Australian Capital Territory,Canberra,1
226194,56,Unknown,Sales Worker,Medium,New South Wales,Newcastle,6
230504,44,Unknown,Technician,Medium,New South Wales,Newcastle,5
238404,29,Unknown,Sales Worker,Medium,Western Australia,Bunbury,6
239704,21,Unknown,Service Worker,Low,New South Wales,Newcastle,5
240804,46,Unknown,Machinery Operator,Low,Tasmania,Launceston,6
240904,23,Unknown,Self-employed,High,Western Australia,Fremantle,5
245404,28,Unknown,Community Worker,Medium,Northern Territory,Katherine,4
248194,38,Unknown,Self-employed,High,Western Australia,Perth,2
248404,50,Unknown,Service Worker,Low,Western Australia,Fremantle,1
249894,21,Unknown,Laborer,Low,Australian Capital Territory,Canberra,6
257004,31,Unknown,Service Worker,Low,Australian Capital Territory,Canberra,5
259704,45,Unknown,Professional,High,Queensland,Brisbane,3
262894,35,Female,Self-employed,High,South Australia,Adelaide,5
265194,21,Unknown,Clerical Worker,Medium,South Australia,Adelaide,1
266004,26,Unknown,Clerical Worker,Medium,Queensland,Cairns,1
266194,32,Unknown,Professional,High,South Australia,Mount Gambier,1
268504,19,Unknown,Machinery Operator,Low,Queensland,Gold Coast,5
270004,23,Unknown,Service Worker,Low,New South Wales,Newcastle,4
270404,34,Unknown,Service Worker,Low,Victoria,Melbourne,6
272504,25,Unknown,Professional,High,Victoria,Geelong,5
276504,34,Unknown,Self-employed,High,Queensland,Gold Coast,5
288694,29,Unknown,Clerical Worker,Medium,Tasmania,Hobart,1
292404,46,Unknown,Clerical Worker,Medium,Tasmania,Launceston,6
295994,46,Female,Technician,Medium,Northern Territory,Katherine,3
298504,25,Unknown,Self-employed,High,South Australia,Adelaide,4
302404,20,Unknown,Professional,High,Australian Capital Territory,Canberra,6
303404,34,Female,Technician,Medium,Australian Capital Territory,Canberra,6
304204,21,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,3
307604,21,Unknown,Self-employed,High,Northern Territory,Darwin,4
308704,34,Unknown,Self-employed,High,Northern Territory,Katherine,6
311604,55,Unknown,Sales Worker,Medium,Queensland,Brisbane,5
313804,56,Unknown,Professional,High,Victoria,Geelong,4
319004,26,Unknown,Community Worker,Medium,South Australia,Mount Gambier,5
319504,24,Unknown,Manager,High,Northern Territory,Katherine,5
325694,26,Male,Technician,Medium,Queensland,Cairns,1
329304,22,Unknown,Machinery Operator,Low,South Australia,Adelaide,5
332804,39,Female,Sales Worker,Medium,Victoria,Melbourne,2
336504,30,Unknown,Sales Worker,Medium,Western Australia,Perth,4
337794,25,Unknown,Laborer,Low,Tasmania,Devonport,3
340804,87,Unknown,Machinery Operator,Low,Victoria,Melbourne,1
343894,40,Unknown,Professional,High,Western Australia,Bunbury,3
349094,49,Unknown,Manager,High,Northern Territory,Darwin,3
352094,34,Unknown,Professional,High,Queensland,Gold Coast,2
353804,49,Unknown,Service Worker,Low,Victoria,Geelong,6
359404,32,Unknown,Professional,High,Queensland,Brisbane,1
361504,38,Female,Professional,High,Victoria,Geelong,1
364304,57,Unknown,Service Worker,Low,Victoria,Melbourne,1
365894,81,Unknown,Community Worker,Medium,South Australia,Adelaide,2
366094,44,Female,Service Worker,Low,New South Wales,Sydney,3
367004,25,Unknown,Service Worker,Low,Tasmania,Hobart,4
370094,39,Unknown,Self-employed,High,Queensland,Cairns,4
372904,29,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,5
393994,53,Unknown,Clerical Worker,Medium,Queensland,Brisbane,6
402194,34,Unknown,Sales Worker,Medium,Western Australia,Perth,4
403404,22,Unknown,Laborer,Low,Queensland,Gold Coast,5
407804,55,Unknown,Self-employed,High,Victoria,Melbourne,5
409004,28,Unknown,Laborer,Low,Tasmania,Devonport,3
411704,48,Unknown,Machinery Operator,Low,Tasmania,Hobart,1
421504,57,Unknown,Sales Worker,Medium,Tasmania,Launceston,2
422404,20,Male,Manager,High,New South Wales,Sydney,2
424894,29,Male,Community Worker,Medium,Western Australia,Bunbury,1
426304,22,Unknown,Laborer,Low,Western Australia,Fremantle,3
434094,41,Unknown,Machinery Operator,Low,South Australia,Adelaide,5
434894,29,Unknown,Community Worker,Medium,Tasmania,Launceston,1
436804,31,Unknown,Technician,Medium,South Australia,Adelaide,2
437794,30,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,4
441894,25,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,6
447794,30,Unknown,Technician,Medium,Victoria,Geelong,5
449194,27,Unknown,Professional,High,New South Wales,Sydney,6
450804,27,Unknown,Professional,High,Australian Capital Territory,Canberra,1
451894,33,Unknown,Clerical Worker,Medium,Victoria,Ballarat,4
455194,45,Unknown,Community Worker,Medium,New South Wales,Sydney,1
456104,47,Unknown,Clerical Worker,Medium,Western Australia,Perth,1
456204,44,Unknown,Sales Worker,Medium,New South Wales,Sydney,4
457994,42,Unknown,Machinery Operator,Low,Western Australia,Perth,2
464004,63,Unknown,Machinery Operator,Low,New South Wales,Newcastle,4
468504,37,Unknown,Laborer,Low,South Australia,Adelaide,3
468894,74,Unknown,Service Worker,Low,New South Wales,Wollongong,6
472894,27,Unknown,Technician,Medium,South Australia,Mount Gambier,2
475504,26,Unknown,Service Worker,Low,Queensland,Brisbane,5
485404,40,Unknown,Machinery Operator,Low,Northern Territory,Katherine,3
485694,30,Unknown,Technician,Medium,New South Wales,Wollongong,5
486104,18,Unknown,Manager,High,South Australia,Adelaide,1
488304,42,Unknown,Clerical Worker,Medium,Western Australia,Bunbury,4
488694,27,Unknown,Self-employed,High,Victoria,Ballarat,1
490094,67,Female,Clerical Worker,Medium,South Australia,Whyalla,2
492404,20,Unknown,Self-employed,High,Tasmania,Hobart,5
493994,62,Unknown,Community Worker,Medium,Queensland,Brisbane,2
504204,75,Unknown,Community Worker,Medium,South Australia,Adelaide,5
505404,38,Unknown,Self-employed,High,South Australia,Mount Gambier,5
510504,20,Unknown,Laborer,Low,Western Australia,Fremantle,6
520604,19,Unknown,Machinery Operator,Low,Western Australia,Fremantle,4
520804,29,Unknown,Service Worker,Low,South Australia,Whyalla,5
526304,37,Unknown,Community Worker,Medium,New South Wales,Wollongong,4
528404,42,Unknown,Laborer,Low,South Australia,Mount Gambier,3
529994,43,Unknown,Manager,High,Victoria,Ballarat,4
532304,33,Unknown,Service Worker,Low,Australian Capital Territory,Canberra,5
532804,28,Unknown,Professional,High,Queensland,Gold Coast,3
533804,73,Unknown,Community Worker,Medium,Western Australia,Fremantle,4
534804,32,Unknown,Self-employed,High,New South Wales,Wollongong,5
535804,69,Unknown,Service Worker,Low,Tasmania,Devonport,5
546204,29,Unknown,Manager,High,New South Wales,Newcastle,4
549894,27,Unknown,Service Worker,Low,Queensland,Brisbane,3
551204,34,Male,Manager,High,Tasmania,Hobart,3
551804,29,Unknown,Machinery Operator,Low,Northern Territory,Alice Springs,6
556504,30,Unknown,Machinery Operator,Low,Victoria,Ballarat,4
557004,29,Unknown,Manager,High,South Australia,Mount Gambier,2
562604,28,Unknown,Sales Worker,Medium,Australian Capital Territory,Canberra,5
562804,81,Female,Clerical Worker,Medium,Queensland,Gold Coast,5
563004,21,Unknown,Sales Worker,Medium,South Australia,Mount Gambier,3
564904,34,Unknown,Self-employed,High,Queensland,Gold Coast,2
567794,24,Unknown,Manager,High,Northern Territory,Alice Springs,1
575704,30,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,5
582604,69,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,6
582804,32,Unknown,Technician,Medium,Australian Capital Territory,Canberra,1
582894,81,Unknown,Laborer,Low,Tasmania,Devonport,5
587704,31,Unknown,Clerical Worker,Medium,Tasmania,Devonport,4
594404,24,Unknown,Laborer,Low,New South Wales,Newcastle,5
595504,21,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,3
598004,26,Unknown,Laborer,Low,Tasmania,Hobart,3
604204,38,Unknown,Community Worker,Medium,New South Wales,Newcastle,5
605404,26,Unknown,Machinery Operator,Low,South Australia,Whyalla,2
605804,20,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,2
606094,24,Unknown,Clerical Worker,Medium,New South Wales,Wollongong,5
612404,47,Unknown,Clerical Worker,Medium,Queensland,Gold Coast,2
612804,25,Unknown,Sales Worker,Medium,New South Wales,Sydney,2
616304,33,Unknown,Professional,High,Tasmania,Hobart,5
620804,26,Unknown,Manager,High,Western Australia,Perth,1
621304,29,Unknown,Manager,High,South Australia,Mount Gambier,1
624104,30,Unknown,Sales Worker,Medium,New South Wales,Newcastle,3
624504,27,Unknown,Service Worker,Low,Western Australia,Fremantle,3
626304,45,Unknown,Professional,High,Tasmania,Hobart,2
628504,66,Unknown,Laborer,Low,Western Australia,Perth,2
633894,46,Unknown,Service Worker,Low,Victoria,Melbourne,4
635404,24,Unknown,Machinery Operator,Low,South Australia,Adelaide,2
637304,49,Unknown,Clerical Worker,Medium,Queensland,Cairns,1
641804,54,Unknown,Machinery Operator,Low,Victoria,Ballarat,5
643194,26,Unknown,Self-employed,High,Victoria,Geelong,3
646404,75,Unknown,Self-employed,High,Australian Capital Territory,Canberra,4
647704,27,Unknown,Technician,Medium,Northern Territory,Katherine,3
654804,30,Unknown,Technician,Medium,Queensland,Cairns,6
655104,24,Unknown,Laborer,Low,New South Wales,Newcastle,6
655794,64,Female,Machinery Operator,Low,Victoria,Ballarat,6
656904,46,Unknown,Service Worker,Low,South Australia,Whyalla,1
657204,27,Unknown,Self-employed,High,Queensland,Gold Coast,2
660004,23,Unknown,Community Worker,Medium,South Australia,Whyalla,4
670104,37,Unknown,Technician,Medium,Northern Territory,Katherine,6
673304,45,Male,Self-employed,High,Australian Capital Territory,Canberra,6
673904,32,Unknown,Professional,High,Queensland,Gold Coast,4
675504,45,Unknown,Laborer,Low,Northern Territory,Darwin,1
687404,62,Unknown,Clerical Worker,Medium,Western Australia,Fremantle,6
691704,46,Unknown,Community Worker,Medium,New South Wales,Sydney,5
692994,66,Unknown,Technician,Medium,New South Wales,Sydney,3
695404,31,Unknown,Professional,High,Western Australia,Fremantle,1
695704,29,Unknown,Technician,Medium,Tasmania,Devonport,2
696604,27,Unknown,Sales Worker,Medium,Tasmania,Hobart,4
698904,31,Unknown,Machinery Operator,Low,Western Australia,Bunbury,4
699794,21,Unknown,Community Worker,Medium,Queensland,Cairns,4
702794,57,Unknown,Service Worker,Low,Queensland,Gold Coast,5
704194,31,Unknown,Technician,Medium,Australian Capital Territory,Canberra,1
705404,24,Unknown,Manager,High,New South Wales,Newcastle,5
708704,31,Unknown,Technician,Medium,Western Australia,Perth,6
711094,41,Unknown,Machinery Operator,Low,New South Wales,Newcastle,6
715204,26,Unknown,Technician,Medium,New South Wales,Sydney,1
721794,30,Unknown,Laborer,Low,Tasmania,Hobart,4
724604,24,Unknown,Community Worker,Medium,Northern Territory,Darwin,3
726194,30,Unknown,Service Worker,Low,Queensland,Brisbane,4
730504,38,Unknown,Professional,High,Northern Territory,Katherine,2
731904,33,Unknown,Self-employed,High,South Australia,Mount Gambier,1
733094,48,Unknown,Professional,High,Queensland,Gold Coast,5
733894,34,Unknown,Clerical Worker,Medium,Western Australia,Fremantle,2
734094,33,Unknown,Professional,High,South Australia,Adelaide,6
734404,46,Unknown,Manager,High,New South Wales,Sydney,5
734894,25,Unknown,Machinery Operator,Low,Australian Capital Territory,Canberra,5
735304,32,Unknown,Clerical Worker,Medium,Queensland,Brisbane,3
736194,29,Unknown,Community Worker,Medium,Queensland,Brisbane,3
736204,40,Unknown,Laborer,Low,Queensland,Brisbane,4
737004,38,Unknown,Clerical Worker,Medium,Victoria,Geelong,1
737794,21,Unknown,Self-employed,High,Western Australia,Bunbury,4
739994,49,Unknown,Machinery Operator,Low,Australian Capital Territory,Canberra,3
742304,29,Unknown,Service Worker,Low,New South Wales,Sydney,3
745504,30,Unknown,Technician,Medium,Australian Capital Territory,Canberra,6
747704,45,Unknown,Technician,Medium,Australian Capital Territory,Canberra,4
747794,32,Unknown,Professional,High,South Australia,Whyalla,1
748304,49,Unknown,Machinery Operator,Low,South Australia,Adelaide,2
749894,22,Unknown,Technician,Medium,Victoria,Melbourne,5
752004,32,Unknown,Laborer,Low,Australian Capital Territory,Canberra,5
754504,62,Unknown,Professional,High,Australian Capital Territory,Canberra,5
757194,27,Male,Laborer,Low,Victoria,Ballarat,4
758004,33,Unknown,Professional,High,Western Australia,Bunbury,3
760004,25,Unknown,Clerical Worker,Medium,Tasmania,Hobart,4
764304,62,Unknown,Service Worker,Low,Victoria,Melbourne,5
766194,48,Unknown,Machinery Operator,Low,Victoria,Geelong,4
768504,59,Unknown,Clerical Worker,Medium,Western Australia,Bunbury,5
774504,41,Unknown,Service Worker,Low,Queensland,Gold Coast,4
777404,26,Unknown,Manager,High,New South Wales,Newcastle,5
783194,55,Unknown,Professional,High,Northern Territory,Darwin,1
783904,32,Unknown,Sales Worker,Medium,Victoria,Ballarat,4
790604,30,Unknown,Laborer,Low,Tasmania,Devonport,2
792404,24,Unknown,Technician,Medium,South Australia,Whyalla,6
794804,35,Unknown,Machinery Operator,Low,South Australia,Whyalla,5
795694,32,Unknown,Machinery Operator,Low,Queensland,Gold Coast,4
796604,40,Unknown,Self-employed,High,Queensland,Brisbane,4
797194,30,Male,Sales Worker,Medium,Tasmania,Hobart,1
798694,46,Unknown,Machinery Operator,Low,Western Australia,Fremantle,2
803994,23,Unknown,Manager,High,Victoria,Melbourne,1
805204,52,Unknown,Sales Worker,Medium,Tasmania,Devonport,4
806804,55,Unknown,Sales Worker,Medium,Tasmania,Devonport,1
809994,57,Unknown,Manager,High,Western Australia,Perth,4
815694,32,Female,Technician,Medium,Queensland,Gold Coast,4
815804,33,Unknown,Laborer,Low,New South Wales,Newcastle,5
817694,56,Unknown,Manager,High,Tasmania,Hobart,5
819504,35,Unknown,Sales Worker,Medium,Tasmania,Devonport,3
824604,28,Unknown,Clerical Worker,Medium,Tasmania,Devonport,4
828404,30,Unknown,Service Worker,Low,Northern Territory,Alice Springs,2
838404,21,Unknown,Laborer,Low,New South Wales,Sydney,2
841804,76,Unknown,Machinery Operator,Low,Australian Capital Territory,Canberra,3
842704,26,Unknown,Sales Worker,Medium,New South Wales,Newcastle,3
843094,47,Unknown,Service Worker,Low,South Australia,Adelaide,4
854504,48,Unknown,Sales Worker,Medium,Western Australia,Fremantle,2
856004,41,Unknown,Clerical Worker,Medium,New South Wales,Wollongong,4
862904,23,Unknown,Machinery Operator,Low,Western Australia,Fremantle,5
863304,24,Female,Service Worker,Low,Queensland,Brisbane,4
866504,26,Unknown,Manager,High,Queensland,Cairns,5
870004,27,Unknown,Clerical Worker,Medium,Western Australia,Fremantle,2
870604,28,Unknown,Clerical Worker,Medium,Northern Territory,Katherine,2
872894,62,Unknown,Service Worker,Low,Western Australia,Bunbury,4
874504,52,Male,Manager,High,Western Australia,Fremantle,6
877404,35,Unknown,Machinery Operator,Low,Queensland,Cairns,1
880404,45,Male,Service Worker,Low,Western Australia,Bunbury,1
882304,52,Unknown,Machinery Operator,Low,Western Australia,Perth,1
883994,47,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,6
884804,26,Unknown,Technician,Medium,Australian Capital Territory,Canberra,4
885694,49,Unknown,Professional,High,Northern Territory,Alice Springs,3
888504,31,Unknown,Manager,High,Western Australia,Bunbury,1
888804,32,Unknown,Service Worker,Low,Western Australia,Bunbury,5
900504,27,Female,Self-employed,High,Northern Territory,Alice Springs,5
900604,23,Unknown,Clerical Worker,Medium,New South Wales,Newcastle,2
901604,36,Unknown,Laborer,Low,New South Wales,Newcastle,6
901804,53,Male,Community Worker,Medium,New South Wales,Sydney,5
902504,51,Unknown,Professional,High,Northern Territory,Darwin,5
909404,28,Unknown,Manager,High,Australian Capital Territory,Canberra,4
914104,43,Unknown,Professional,High,Western Australia,Perth,1
914404,29,Unknown,Service Worker,Low,Victoria,Melbourne,1
915104,32,Unknown,Professional,High,Queensland,Gold Coast,4
917894,28,Unknown,Self-employed,High,Western Australia,Perth,2
920304,56,Unknown,Service Worker,Low,Western Australia,Bunbury,4
923504,28,Unknown,Laborer,Low,South Australia,Mount Gambier,3
924804,62,Unknown,Machinery Operator,Low,Australian Capital Territory,Canberra,5
925104,38,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,2
929304,27,Unknown,Manager,High,Australian Capital Territory,Canberra,6
929504,39,Unknown,Machinery Operator,Low,Western Australia,Bunbury,1
930804,23,Unknown,Professional,High,Australian Capital Territory,Canberra,3
932704,33,Unknown,Machinery Operator,Low,South Australia,Whyalla,1
933804,33,Unknown,Machinery Operator,Low,Western Australia,Bunbury,2
933894,35,Unknown,Professional,High,Victoria,Geelong,6
934094,31,Unknown,Sales Worker,Medium,Victoria,Geelong,5
934404,62,Male,Service Worker,Low,Queensland,Brisbane,2
935994,58,Unknown,Machinery Operator,Low,Northern Territory,Darwin,2
936404,33,Unknown,Self-employed,High,South Australia,Whyalla,6
938404,21,Unknown,Manager,High,Northern Territory,Darwin,1
942094,53,Unknown,Clerical Worker,Medium,Queensland,Brisbane,1
944904,42,Unknown,Service Worker,Low,Northern Territory,Katherine,1
946194,53,Unknown,Service Worker,Low,Western Australia,Perth,3
946904,61,Unknown,Self-employed,High,South Australia,Mount Gambier,4
961894,32,Unknown,Sales Worker,Medium,Victoria,Ballarat,3
962004,40,Unknown,Manager,High,Victoria,Melbourne,3
963604,45,Female,Sales Worker,Medium,Northern Territory,Alice Springs,2
966094,34,Unknown,Service Worker,Low,Australian Capital Territory,Canberra,2
967404,68,Female,Community Worker,Medium,Australian Capital Territory,Canberra,3
970094,43,Unknown,Professional,High,Victoria,Ballarat,6
970304,53,Unknown,Sales Worker,Medium,Northern Territory,Darwin,2
971504,52,Unknown,Laborer,Low,Tasmania,Hobart,4
980604,44,Unknown,Laborer,Low,Australian Capital Territory,Canberra,1
981704,35,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,4
987704,27,Unknown,Sales Worker,Medium,Northern Territory,Darwin,5
990094,47,Unknown,Self-employed,High,Western Australia,Perth,5
991704,49,Male,Technician,Medium,Queensland,Cairns,3
992404,27,Unknown,Laborer,Low,New South Wales,Wollongong,1
993994,21,Unknown,Laborer,Low,Tasmania,Devonport,6
994804,42,Unknown,Professional,High,South Australia,Adelaide,1
995994,46,Unknown,Manager,High,Victoria,Geelong,2
996404,37,Female,Service Worker,Low,South Australia,Whyalla,5
998194,58,Unknown,Sales Worker,Medium,Victoria,Melbourne,1
1007804,37,Unknown,Sales Worker,Medium,Western Australia,Fremantle,2
1008194,21,Unknown,Sales Worker,Medium,Tasmania,Launceston,5
1009004,30,Unknown,Manager,High,Queensland,Brisbane,1
1009994,33,Unknown,Service Worker,Low,New South Wales,Sydney,4
1011704,26,Unknown,Community Worker,Medium,South Australia,Whyalla,1
1013994,22,Unknown,Community Worker,Medium,Northern Territory,Katherine,4
1017304,32,Unknown,Sales Worker,Medium,Queensland,Cairns,4
1024604,70,Unknown,Clerical Worker,Medium,New South Wales,Wollongong,2
1024894,26,Unknown,Sales Worker,Medium,Queensland,Cairns,3
1030004,58,Unknown,Professional,High,Western Australia,Fremantle,2
1037794,52,Unknown,Professional,High,Queensland,Brisbane,2
1042804,42,Unknown,Community Worker,Medium,Western Australia,Perth,6
1044894,23,Male,Machinery Operator,Low,Queensland,Brisbane,4
1045304,33,Unknown,Professional,High,New South Wales,Newcastle,4
1051894,37,Female,Self-employed,High,Western Australia,Fremantle,6
1054904,35,Unknown,Professional,High,Australian Capital Territory,Canberra,1
1055304,53,Unknown,Sales Worker,Medium,Victoria,Geelong,6
1056904,34,Unknown,Community Worker,Medium,Victoria,Geelong,2
1062194,36,Unknown,Machinery Operator,Low,South Australia,Adelaide,6
1064894,26,Unknown,Sales Worker,Medium,Northern Territory,Katherine,4
1068094,26,Unknown,Self-employed,High,Northern Territory,Alice Springs,5
1072604,30,Unknown,Sales Worker,Medium,Australian Capital Territory,Canberra,5
1079104,59,Unknown,Clerical Worker,Medium,Northern Territory,Darwin,2
1082894,49,Unknown,Manager,High,Western Australia,Fremantle,2
1083304,23,Male,Technician,Medium,Queensland,Cairns,3
1098004,20,Unknown,Machinery Operator,Low,New South Wales,Newcastle,2
1105894,60,Unknown,Professional,High,Northern Territory,Alice Springs,5
1108004,28,Unknown,Clerical Worker,Medium,South Australia,Whyalla,2
1112704,27,Unknown,Machinery Operator,Low,Western Australia,Fremantle,3
1113804,26,Unknown,Machinery Operator,Low,Northern Territory,Darwin,3
1119004,39,Unknown,Clerical Worker,Medium,Western Australia,Fremantle,2
1119504,36,Unknown,Manager,High,Queensland,Cairns,5
1121704,49,Unknown,Machinery Operator,Low,Northern Territory,Katherine,1
1123804,38,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,1
1129504,22,Unknown,Service Worker,Low,Tasmania,Hobart,6
1129804,62,Unknown,Self-employed,High,New South Wales,Sydney,5
1132094,49,Unknown,Clerical Worker,Medium,New South Wales,Sydney,1
1133504,31,Unknown,Clerical Worker,Medium,Australian Capital Territory,Canberra,5
1133894,34,Unknown,Self-employed,High,Western Australia,Perth,4
1134804,31,Unknown,Technician,Medium,South Australia,Whyalla,2
1140004,75,Unknown,Self-employed,High,Western Australia,Perth,5
1140704,44,Unknown,Community Worker,Medium,New South Wales,Wollongong,3
1141504,69,Unknown,Self-employed,High,Victoria,Geelong,2
1147004,33,Unknown,Community Worker,Medium,New South Wales,Sydney,1
1147704,25,Unknown,Professional,High,Australian Capital Territory,Canberra,1
1149094,23,Unknown,Clerical Worker,Medium,Western Australia,Fremantle,2
1149894,36,Unknown,Service Worker,Low,Australian Capital Territory,Canberra,1
1150804,38,Unknown,Technician,Medium,New South Wales,Wollongong,2
1156904,32,Unknown,Manager,High,Victoria,Melbourne,5
1159004,37,Unknown,Service Worker,Low,Queensland,Brisbane,6
1159194,32,Unknown,Community Worker,Medium,South Australia,Mount Gambier,5
1163704,41,Unknown,Laborer,Low,Tasmania,Hobart,6
1165694,54,Male,Self-employed,High,Victoria,Melbourne,1
1166094,57,Unknown,Machinery Operator,Low,Victoria,Ballarat,5
1170304,23,Unknown,Service Worker,Low,Victoria,Geelong,2
1171504,31,Unknown,Clerical Worker,Medium,New South Wales,Sydney,6
1174304,32,Female,Manager,High,Victoria,Ballarat,5
1175504,31,Unknown,Service Worker,Low,Australian Capital Territory,Canberra,3
1178704,37,Unknown,Clerical Worker,Medium,Northern Territory,Darwin,2
